"lon","lat","layer","bioregion"
-0.5,37.2,"bathypelagic",9
-0.5,37.4,"bathypelagic",9
-0.5,37.6,"bathypelagic",NA
-0.5,37.8,"bathypelagic",NA
-0.5,38,"bathypelagic",NA
-0.3,36.2,"bathypelagic",9
-0.3,36.4,"bathypelagic",9
-0.3,36.6,"bathypelagic",9
-0.3,36.8,"bathypelagic",9
-0.3,37,"bathypelagic",9
-0.3,37.2,"bathypelagic",9
-0.3,37.4,"bathypelagic",9
-0.3,37.6,"bathypelagic",NA
-0.3,37.8,"bathypelagic",NA
-0.3,38,"bathypelagic",9
-0.3,38.2,"bathypelagic",NA
-0.1,36,"bathypelagic",NA
-0.1,36.2,"bathypelagic",9
-0.1,36.4,"bathypelagic",9
-0.1,36.6,"bathypelagic",9
-0.1,36.8,"bathypelagic",9
-0.1,37,"bathypelagic",9
-0.1,37.2,"bathypelagic",9
-0.1,37.4,"bathypelagic",9
-0.1,37.6,"bathypelagic",9
-0.1,37.8,"bathypelagic",NA
-0.1,38,"bathypelagic",9
-0.1,38.2,"bathypelagic",NA
-0.1,38.4,"bathypelagic",NA
-0.1,39.2,"bathypelagic",NA
-0.1,39.4,"bathypelagic",NA
-0.1,39.6,"bathypelagic",NA
0.1,36.2,"bathypelagic",NA
0.1,36.4,"bathypelagic",9
0.1,36.6,"bathypelagic",9
0.1,36.8,"bathypelagic",9
0.1,37,"bathypelagic",9
0.1,37.2,"bathypelagic",9
0.1,37.4,"bathypelagic",9
0.1,37.6,"bathypelagic",9
0.1,37.8,"bathypelagic",9
0.1,38,"bathypelagic",9
0.1,38.2,"bathypelagic",NA
0.1,38.4,"bathypelagic",NA
0.1,39,"bathypelagic",NA
0.1,39.2,"bathypelagic",NA
0.1,39.4,"bathypelagic",NA
0.1,39.6,"bathypelagic",NA
0.1,39.8,"bathypelagic",NA
0.3,36.4,"bathypelagic",9
0.3,36.6,"bathypelagic",9
0.3,36.8,"bathypelagic",9
0.3,37,"bathypelagic",9
0.3,37.2,"bathypelagic",9
0.3,37.4,"bathypelagic",9
0.3,37.6,"bathypelagic",9
0.3,37.8,"bathypelagic",9
0.3,38,"bathypelagic",9
0.3,38.2,"bathypelagic",NA
0.3,38.4,"bathypelagic",NA
0.3,38.6,"bathypelagic",NA
0.3,39,"bathypelagic",NA
0.3,39.2,"bathypelagic",9
0.3,39.4,"bathypelagic",9
0.3,39.6,"bathypelagic",NA
0.3,39.8,"bathypelagic",NA
0.3,40,"bathypelagic",NA
0.5,36.4,"bathypelagic",9
0.5,36.6,"bathypelagic",9
0.5,36.8,"bathypelagic",9
0.5,37,"bathypelagic",9
0.5,37.2,"bathypelagic",9
0.5,37.4,"bathypelagic",9
0.5,37.6,"bathypelagic",9
0.5,37.8,"bathypelagic",9
0.5,38,"bathypelagic",5
0.5,38.2,"bathypelagic",9
0.5,38.4,"bathypelagic",NA
0.5,38.6,"bathypelagic",NA
0.5,38.8,"bathypelagic",9
0.5,39,"bathypelagic",9
0.5,39.2,"bathypelagic",9
0.5,39.4,"bathypelagic",9
0.5,39.6,"bathypelagic",9
0.5,39.8,"bathypelagic",NA
0.5,40,"bathypelagic",NA
0.5,40.2,"bathypelagic",NA
0.7,36.6,"bathypelagic",9
0.7,36.8,"bathypelagic",9
0.7,37,"bathypelagic",9
0.7,37.2,"bathypelagic",9
0.7,37.4,"bathypelagic",9
0.7,37.6,"bathypelagic",9
0.7,37.8,"bathypelagic",9
0.7,38,"bathypelagic",9
0.7,38.2,"bathypelagic",9
0.7,38.4,"bathypelagic",9
0.7,38.6,"bathypelagic",9
0.7,38.8,"bathypelagic",9
0.7,39,"bathypelagic",9
0.7,39.2,"bathypelagic",9
0.7,39.4,"bathypelagic",9
0.7,39.6,"bathypelagic",9
0.7,39.8,"bathypelagic",NA
0.7,40,"bathypelagic",NA
0.7,40.2,"bathypelagic",NA
0.7,40.4,"bathypelagic",NA
0.9,36.6,"bathypelagic",9
0.9,36.8,"bathypelagic",9
0.9,37,"bathypelagic",9
0.9,37.2,"bathypelagic",9
0.9,37.4,"bathypelagic",9
0.9,37.6,"bathypelagic",9
0.9,37.8,"bathypelagic",9
0.9,38,"bathypelagic",9
0.9,38.2,"bathypelagic",9
0.9,38.4,"bathypelagic",9
0.9,38.6,"bathypelagic",NA
0.9,38.8,"bathypelagic",NA
0.9,39,"bathypelagic",9
0.9,39.2,"bathypelagic",9
0.9,39.4,"bathypelagic",9
0.9,39.6,"bathypelagic",9
0.9,39.8,"bathypelagic",9
0.9,40,"bathypelagic",NA
0.9,40.2,"bathypelagic",NA
0.9,40.4,"bathypelagic",NA
1.1,36.6,"bathypelagic",9
1.1,36.8,"bathypelagic",9
1.1,37,"bathypelagic",9
1.1,37.2,"bathypelagic",9
1.1,37.4,"bathypelagic",9
1.1,37.6,"bathypelagic",9
1.1,37.8,"bathypelagic",9
1.1,38,"bathypelagic",9
1.1,38.2,"bathypelagic",9
1.1,38.4,"bathypelagic",9
1.1,38.6,"bathypelagic",NA
1.1,38.8,"bathypelagic",NA
1.1,39,"bathypelagic",NA
1.1,39.2,"bathypelagic",9
1.1,39.4,"bathypelagic",9
1.1,39.6,"bathypelagic",9
1.1,39.8,"bathypelagic",9
1.1,40,"bathypelagic",9
1.1,40.2,"bathypelagic",NA
1.1,40.4,"bathypelagic",NA
1.1,40.6,"bathypelagic",NA
1.1,40.8,"bathypelagic",NA
1.3,36.8,"bathypelagic",9
1.3,37,"bathypelagic",9
1.3,37.2,"bathypelagic",9
1.3,37.4,"bathypelagic",9
1.3,37.6,"bathypelagic",9
1.3,37.8,"bathypelagic",9
1.3,38,"bathypelagic",9
1.3,38.2,"bathypelagic",9
1.3,38.4,"bathypelagic",9
1.3,39.2,"bathypelagic",NA
1.3,39.4,"bathypelagic",9
1.3,39.6,"bathypelagic",9
1.3,39.8,"bathypelagic",9
1.3,40,"bathypelagic",9
1.3,40.2,"bathypelagic",9
1.3,40.4,"bathypelagic",NA
1.3,40.6,"bathypelagic",NA
1.3,40.8,"bathypelagic",NA
1.3,41,"bathypelagic",NA
1.5,36.8,"bathypelagic",9
1.5,37,"bathypelagic",9
1.5,37.2,"bathypelagic",9
1.5,37.4,"bathypelagic",9
1.5,37.6,"bathypelagic",9
1.5,37.8,"bathypelagic",9
1.5,38,"bathypelagic",9
1.5,38.2,"bathypelagic",9
1.5,38.4,"bathypelagic",9
1.5,39.4,"bathypelagic",9
1.5,39.6,"bathypelagic",9
1.5,39.8,"bathypelagic",9
1.5,40,"bathypelagic",9
1.5,40.2,"bathypelagic",9
1.5,40.4,"bathypelagic",9
1.5,40.6,"bathypelagic",9
1.5,40.8,"bathypelagic",9
1.5,41,"bathypelagic",NA
1.7,36.8,"bathypelagic",9
1.7,37,"bathypelagic",9
1.7,37.2,"bathypelagic",9
1.7,37.4,"bathypelagic",9
1.7,37.6,"bathypelagic",9
1.7,37.8,"bathypelagic",9
1.7,38,"bathypelagic",9
1.7,38.2,"bathypelagic",9
1.7,38.4,"bathypelagic",9
1.7,38.6,"bathypelagic",NA
1.7,38.8,"bathypelagic",NA
1.7,39.2,"bathypelagic",NA
1.7,39.4,"bathypelagic",9
1.7,39.6,"bathypelagic",9
1.7,39.8,"bathypelagic",9
1.7,40,"bathypelagic",9
1.7,40.2,"bathypelagic",9
1.7,40.4,"bathypelagic",9
1.7,40.6,"bathypelagic",9
1.7,40.8,"bathypelagic",9
1.7,41,"bathypelagic",9
1.9,36.8,"bathypelagic",9
1.9,37,"bathypelagic",9
1.9,37.2,"bathypelagic",9
1.9,37.4,"bathypelagic",9
1.9,37.6,"bathypelagic",9
1.9,37.8,"bathypelagic",9
1.9,38,"bathypelagic",9
1.9,38.2,"bathypelagic",9
1.9,38.4,"bathypelagic",9
