"lon","lat","layer","trophic","ecoregion"
-0.9,36,"pelagic","primary producers",6
-0.9,36.2,"pelagic","primary producers",6
-0.9,36.4,"pelagic","primary producers",6
-0.9,36.6,"pelagic","primary producers",6
-0.9,36.8,"pelagic","primary producers",6
-0.9,37,"pelagic","primary producers",6
-0.9,37.2,"pelagic","primary producers",6
-0.9,37.4,"pelagic","primary producers",6
-0.7,36,"pelagic","primary producers",6
-0.7,36.2,"pelagic","primary producers",6
-0.7,36.4,"pelagic","primary producers",6
-0.7,36.6,"pelagic","primary producers",6
-0.7,36.8,"pelagic","primary producers",6
-0.7,37,"pelagic","primary producers",6
-0.7,37.2,"pelagic","primary producers",6
-0.7,37.4,"pelagic","primary producers",6
-0.5,36,"pelagic","primary producers",6
-0.5,36.2,"pelagic","primary producers",6
-0.5,36.4,"pelagic","primary producers",6
-0.5,36.6,"pelagic","primary producers",6
-0.5,36.8,"pelagic","primary producers",6
-0.5,37,"pelagic","primary producers",6
-0.5,37.2,"pelagic","primary producers",6
-0.5,37.4,"pelagic","primary producers",6
-0.5,37.6,"pelagic","primary producers",6
-0.5,37.8,"pelagic","primary producers",6
-0.5,38,"pelagic","primary producers",6
-0.3,36.2,"pelagic","primary producers",6
-0.3,36.4,"pelagic","primary producers",6
-0.3,36.6,"pelagic","primary producers",6
-0.3,36.8,"pelagic","primary producers",6
-0.3,37,"pelagic","primary producers",6
-0.3,37.2,"pelagic","primary producers",6
-0.3,37.4,"pelagic","primary producers",6
-0.3,37.6,"pelagic","primary producers",6
-0.3,37.8,"pelagic","primary producers",6
-0.3,38,"pelagic","primary producers",6
-0.3,38.2,"pelagic","primary producers",6
-0.1,36,"pelagic","primary producers",6
-0.1,36.2,"pelagic","primary producers",6
-0.1,36.4,"pelagic","primary producers",6
-0.1,36.6,"pelagic","primary producers",6
-0.1,36.8,"pelagic","primary producers",6
-0.1,37,"pelagic","primary producers",6
-0.1,37.2,"pelagic","primary producers",6
-0.1,37.4,"pelagic","primary producers",6
-0.1,37.6,"pelagic","primary producers",6
-0.1,37.8,"pelagic","primary producers",6
-0.1,38,"pelagic","primary producers",6
-0.1,38.2,"pelagic","primary producers",6
-0.1,38.4,"pelagic","primary producers",6
-0.1,39.2,"pelagic","primary producers",1
-0.1,39.4,"pelagic","primary producers",6
-0.1,39.6,"pelagic","primary producers",1
0.1,36.2,"pelagic","primary producers",6
0.1,36.4,"pelagic","primary producers",6
0.1,36.6,"pelagic","primary producers",6
0.1,36.8,"pelagic","primary producers",6
0.1,37,"pelagic","primary producers",6
0.1,37.2,"pelagic","primary producers",6
0.1,37.4,"pelagic","primary producers",6
0.1,37.6,"pelagic","primary producers",6
0.1,37.8,"pelagic","primary producers",6
0.1,38,"pelagic","primary producers",6
0.1,38.2,"pelagic","primary producers",6
0.1,38.4,"pelagic","primary producers",6
0.1,39,"pelagic","primary producers",6
0.1,39.2,"pelagic","primary producers",6
0.1,39.4,"pelagic","primary producers",6
0.1,39.6,"pelagic","primary producers",6
0.1,39.8,"pelagic","primary producers",6
0.3,36.4,"pelagic","primary producers",6
0.3,36.6,"pelagic","primary producers",6
0.3,36.8,"pelagic","primary producers",6
0.3,37,"pelagic","primary producers",6
0.3,37.2,"pelagic","primary producers",6
0.3,37.4,"pelagic","primary producers",6
0.3,37.6,"pelagic","primary producers",6
0.3,37.8,"pelagic","primary producers",6
0.3,38,"pelagic","primary producers",6
0.3,38.2,"pelagic","primary producers",6
0.3,38.4,"pelagic","primary producers",6
0.3,38.6,"pelagic","primary producers",6
0.3,39,"pelagic","primary producers",6
0.3,39.2,"pelagic","primary producers",6
0.3,39.4,"pelagic","primary producers",6
0.3,39.6,"pelagic","primary producers",6
0.3,39.8,"pelagic","primary producers",6
0.3,40,"pelagic","primary producers",6
0.5,36.4,"pelagic","primary producers",6
0.5,36.6,"pelagic","primary producers",6
0.5,36.8,"pelagic","primary producers",6
0.5,37,"pelagic","primary producers",6
0.5,37.2,"pelagic","primary producers",6
0.5,37.4,"pelagic","primary producers",6
0.5,37.6,"pelagic","primary producers",6
0.5,37.8,"pelagic","primary producers",6
0.5,38,"pelagic","primary producers",6
0.5,38.2,"pelagic","primary producers",6
0.5,38.4,"pelagic","primary producers",6
0.5,38.6,"pelagic","primary producers",6
0.5,38.8,"pelagic","primary producers",6
0.5,39,"pelagic","primary producers",6
0.5,39.2,"pelagic","primary producers",6
0.5,39.4,"pelagic","primary producers",6
0.5,39.6,"pelagic","primary producers",6
0.5,39.8,"pelagic","primary producers",6
0.5,40,"pelagic","primary producers",6
0.5,40.2,"pelagic","primary producers",7
0.7,36.6,"pelagic","primary producers",6
0.7,36.8,"pelagic","primary producers",6
0.7,37,"pelagic","primary producers",6
0.7,37.2,"pelagic","primary producers",6
0.7,37.4,"pelagic","primary producers",6
0.7,37.6,"pelagic","primary producers",6
0.7,37.8,"pelagic","primary producers",6
0.7,38,"pelagic","primary producers",6
0.7,38.2,"pelagic","primary producers",6
0.7,38.4,"pelagic","primary producers",6
0.7,38.6,"pelagic","primary producers",6
0.7,38.8,"pelagic","primary producers",6
0.7,39,"pelagic","primary producers",6
0.7,39.2,"pelagic","primary producers",6
0.7,39.4,"pelagic","primary producers",6
0.7,39.6,"pelagic","primary producers",6
0.7,39.8,"pelagic","primary producers",6
0.7,40,"pelagic","primary producers",6
0.7,40.2,"pelagic","primary producers",6
0.7,40.4,"pelagic","primary producers",7
0.9,36.6,"pelagic","primary producers",4
0.9,36.8,"pelagic","primary producers",6
0.9,37,"pelagic","primary producers",6
0.9,37.2,"pelagic","primary producers",6
0.9,37.4,"pelagic","primary producers",6
0.9,37.6,"pelagic","primary producers",6
0.9,37.8,"pelagic","primary producers",6
0.9,38,"pelagic","primary producers",6
0.9,38.2,"pelagic","primary producers",6
0.9,38.4,"pelagic","primary producers",6
0.9,38.6,"pelagic","primary producers",6
0.9,38.8,"pelagic","primary producers",6
0.9,39,"pelagic","primary producers",6
0.9,39.2,"pelagic","primary producers",6
0.9,39.4,"pelagic","primary producers",6
0.9,39.6,"pelagic","primary producers",6
0.9,39.8,"pelagic","primary producers",6
0.9,40,"pelagic","primary producers",6
0.9,40.2,"pelagic","primary producers",3
0.9,40.4,"pelagic","primary producers",5
1.1,36.6,"pelagic","primary producers",4
1.1,36.8,"pelagic","primary producers",4
1.1,37,"pelagic","primary producers",4
1.1,37.2,"pelagic","primary producers",1
1.1,37.4,"pelagic","primary producers",4
1.1,37.6,"pelagic","primary producers",4
1.1,37.8,"pelagic","primary producers",4
1.1,38,"pelagic","primary producers",6
1.1,38.2,"pelagic","primary producers",6
1.1,38.4,"pelagic","primary producers",6
1.1,38.6,"pelagic","primary producers",6
1.1,38.8,"pelagic","primary producers",6
1.1,39,"pelagic","primary producers",6
1.1,39.2,"pelagic","primary producers",6
1.1,39.4,"pelagic","primary producers",6
1.1,39.6,"pelagic","primary producers",6
1.1,39.8,"pelagic","primary producers",6
1.1,40,"pelagic","primary producers",6
